,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7077922077922078,0.6,0.5,0.5454545454545454,0.8074074074074075
SVM,0.7532467532467533,0.6818181818181818,0.5555555555555556,0.6122448979591837,0.8101851851851851
Random Forest,0.7597402597402597,0.673469387755102,0.6111111111111112,0.6407766990291263,0.8203703703703704
Gradient Boosting,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337,0.8214814814814815
